2023-03-14 04:44:41.793760 [INFO   ] [APP] application started
2023-03-14 04:44:41.794262 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 116400; ask volumes: 1000; bid prices: 116200; bid volumes: 11780
2023-03-14 04:44:41.794266 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 116200; ask volumes: 86; bid prices: 116100; bid volumes: 22
2023-03-14 04:44:41.794289 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 116400; ask volumes: 1000; bid prices: 116200; bid volumes: 12270
2023-03-14 04:44:41.794293 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 116200; ask volumes: 86; bid prices: 116100; bid volumes: 22
2023-03-14 04:44:41.794323 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 116500; ask volumes: 11270; bid prices: 116300; bid volumes: 10000
2023-03-14 04:44:41.794326 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 116500; ask volumes: 68; bid prices: 116200; bid volumes: 4
2023-03-14 04:44:41.794347 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 116300; ask volumes: 19280; bid prices: 116100; bid volumes: 1000
2023-03-14 04:44:41.794351 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 116500; ask volumes: 68; bid prices: 116200; bid volumes: 4
2023-03-14 04:44:41.794355 [INFO   ] [AUTO] Should Sell
2023-03-14 04:44:41.794363 [INFO   ] [AUTO] Hedge Selling Order9 for price 116400 vol 8 diff is 100 event 43 position 0
2023-03-14 04:44:41.794365 [INFO   ] [AUTO] Should Sell
2023-03-14 04:44:41.794369 [INFO   ] [AUTO] Hedge Selling Order10 for price 116400 vol 8 diff is 100 event 44 position 0
2023-03-14 04:44:41.794380 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 116400; ask volumes: 1000; bid prices: 116200; bid volumes: 14170
2023-03-14 04:44:41.794384 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 116400; ask volumes: 4; bid prices: 116200; bid volumes: 4
2023-03-14 04:44:41.794387 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 116700; ask volumes: 12240; bid prices: 116400; bid volumes: 13310
2023-03-14 04:44:41.794394 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 116400; ask volumes: 4; bid prices: 116200; bid volumes: 4
2023-03-14 04:44:41.794397 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 117100; ask volumes: 11550; bid prices: 116900; bid volumes: 9780
2023-03-14 04:44:41.794400 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 116400; ask volumes: 4; bid prices: 116300; bid volumes: 16
2023-03-14 04:44:41.794402 [INFO   ] [AUTO] Waiting for event space
2023-03-14 04:44:42.794812 [ERROR  ] [CON] 'Exec' send failed: Connection reset by peer
2023-03-14 04:44:42.794903 [INFO   ] [CON] 'Info' closing
2023-03-14 04:44:42.794941 [INFO   ] [CON] 'Exec' closing
