Time,Team,Operation,BuyVolume,SellVolume,EtfPosition,FuturePosition,EtfPrice,FuturePrice,TotalFees,AccountBalance,ProfitOrLoss,Status
6.528131,TraderOne,Tick,96,48,48,-48,147000,146800,3,19397,28997,OK
6.77126,TraderOne,Tick,96,112,-16,16,147200,146700,1179,39021,35821,OK
7.050477,TraderOne,Tick,96,112,-16,16,147200,146900,1179,39021,35821,OK
7.282737,TraderOne,Tick,96,112,-16,16,147200,146900,1179,39021,35821,OK
7.511196,TraderOne,Tick,96,112,-16,16,147200,146900,1179,39021,35821,OK
7.733664,TraderOne,Tick,96,112,-16,16,147200,146900,1179,39021,35821,OK
7.97846,TraderOne,Tick,96,112,-16,16,147200,146900,1179,39021,35821,OK
8.279836,TraderOne,Tick,96,112,-16,16,146300,146900,1179,39021,42221,OK
8.494002,TraderOne,Tick,96,112,-16,16,146300,146900,1179,39021,42221,OK
8.736915,TraderOne,Tick,96,112,-16,16,146300,146900,1179,39021,42221,OK
9.033216,TraderOne,Tick,160,112,48,-48,146500,146900,241,49559,39959,OK
9.260518,TraderOne,Tick,160,112,48,-48,146500,146900,241,49559,39959,OK
9.541775,TraderOne,Tick,160,112,48,-48,146500,146900,241,49559,39959,OK
9.734231,TraderOne,Tick,160,112,48,-48,146500,146900,241,49559,39959,OK
9.989651,TraderOne,Tick,160,112,48,-48,146500,146900,241,49559,39959,OK
10.297112,TraderOne,Tick,160,112,48,-48,146500,146900,241,49559,39959,OK
10.47949,TraderOne,Tick,160,112,48,-48,146500,146900,241,49559,39959,OK
10.737554,TraderOne,Tick,160,112,48,-48,146400,147000,241,49559,39959,OK
10.97033,TraderOne,Tick,160,112,48,-48,147300,147000,241,49559,59159,OK
11.228891,TraderOne,Tick,160,112,48,-48,147300,147000,241,49559,59159,OK
11.52892,TraderOne,Tick,160,112,48,-48,147300,147000,241,49559,59159,OK
11.756689,TraderOne,Tick,160,112,48,-48,147400,147200,241,49559,59159,OK
11.961595,TraderOne,Tick,160,112,48,-48,147400,147200,241,49559,59159,OK
12.279929,TraderOne,Tick,160,112,48,-48,147400,147200,241,49559,59159,OK
12.48031,TraderOne,Tick,160,112,48,-48,147400,147200,241,49559,59159,OK
12.785602,TraderOne,Tick,160,112,48,-48,147400,147200,241,49559,59159,OK
13.014264,TraderOne,Tick,160,112,48,-48,147400,147200,241,49559,59159,OK
13.288722,TraderOne,Tick,160,112,48,-48,146600,147200,241,49559,39959,OK
13.461335,TraderOne,Tick,160,112,48,-48,146600,147200,241,49559,39959,OK
13.774618,TraderOne,Tick,160,112,48,-48,146600,147200,241,49559,39959,OK
13.987146,TraderOne,Tick,160,112,48,-48,146600,147200,241,49559,39959,OK
14.213998,TraderOne,Tick,160,112,48,-48,146600,147200,241,49559,39959,OK
14.455873,TraderOne,Tick,164,112,52,-52,146900,147200,182,50018,39618,OK
14.782368,TraderOne,Tick,164,112,52,-52,146900,147200,182,50018,39618,OK
14.97575,TraderOne,Tick,164,112,52,-52,146900,147200,182,50018,39618,OK
15.280782,TraderOne,Tick,164,112,52,-52,146900,147200,182,50018,39618,OK
15.486075,TraderOne,Tick,164,112,52,-52,146900,146800,182,50018,55218,OK
15.730705,TraderOne,Tick,164,112,52,-52,146900,146800,182,50018,55218,OK
15.975493,TraderOne,Tick,164,112,52,-52,146900,146900,182,50018,50018,OK
16.217113,TraderOne,Tick,164,112,52,-52,146900,146900,182,50018,50018,OK
16.503853,TraderOne,Tick,164,112,52,-52,146900,146900,182,50018,50018,OK
16.70748,TraderOne,Tick,164,112,52,-52,146900,146900,182,50018,50018,OK
17.02087,TraderOne,Tick,164,112,52,-52,146900,146900,182,50018,50018,OK
17.226956,TraderOne,Tick,164,112,52,-52,146900,146900,182,50018,50018,OK
17.49707,TraderOne,Tick,164,112,52,-52,146900,146900,182,50018,50018,OK
17.711828,TraderOne,Tick,164,112,52,-52,146900,146900,182,50018,50018,OK
18.028706,TraderOne,Tick,212,112,100,-100,146600,146900,-523,61923,41923,OK
18.218022,TraderOne,Tick,212,112,100,-100,146600,146900,-523,61923,41923,OK
18.475219,TraderOne,Tick,212,112,100,-100,146600,147100,-523,61923,41923,OK
18.768273,TraderOne,Tick,212,112,100,-100,146600,147100,-523,61923,41923,OK
19.048307,TraderOne,Tick,212,112,100,-100,146600,147100,-523,61923,41923,OK
19.23647,TraderOne,Tick,212,112,100,-100,146600,147100,-523,61923,41923,OK
19.520201,TraderOne,Tick,212,112,100,-100,146600,147200,-523,61923,41923,OK
19.773432,TraderOne,Tick,212,112,100,-100,146600,147200,-523,61923,41923,OK
20.018083,TraderOne,Tick,212,112,100,-100,146600,147200,-523,61923,41923,OK
20.282373,TraderOne,Tick,212,112,100,-100,146600,147200,-523,61923,41923,OK
20.540877,TraderOne,Tick,212,112,100,-100,146900,147900,-523,61923,41923,OK
20.797322,TraderOne,Tick,212,112,100,-100,147500,147900,-523,61923,41923,OK
21.001668,TraderOne,Tick,212,112,100,-100,147500,147900,-523,61923,41923,OK
21.288516,TraderOne,Tick,212,112,100,-100,147500,147900,-523,61923,41923,OK
21.533768,TraderOne,Tick,212,112,100,-100,147500,147900,-523,61923,41923,OK
21.794935,TraderOne,Tick,212,112,100,-100,147500,147900,-523,61923,41923,OK
22.024429,TraderOne,Tick,212,112,100,-100,147500,148000,-523,61923,41923,OK
22.244527,TraderOne,Tick,212,112,100,-100,147500,148000,-523,61923,41923,OK
22.531195,TraderOne,Tick,212,112,100,-100,147500,148100,-523,61923,41923,OK
22.763152,TraderOne,Tick,212,112,100,-100,147500,148100,-523,61923,41923,OK
22.974243,TraderOne,Tick,212,112,100,-100,147500,148000,-523,61923,41923,OK
23.208104,TraderOne,Tick,212,112,100,-100,147500,148000,-523,61923,41923,OK
23.537942,TraderOne,Tick,212,112,100,-100,147500,147700,-523,61923,41923,OK
23.786516,TraderOne,Tick,212,112,100,-100,147500,147700,-523,61923,41923,OK
24.036295,TraderOne,Tick,212,112,100,-100,147600,147700,-523,61923,51923,OK
24.295233,TraderOne,Tick,212,112,100,-100,147600,147700,-523,61923,51923,OK
24.541576,TraderOne,Tick,212,112,100,-100,147600,147700,-523,61923,51923,OK
24.736319,TraderOne,Tick,212,112,100,-100,147600,147700,-523,61923,51923,OK
24.993236,TraderOne,Tick,212,112,100,-100,147600,148100,-523,61923,41923,OK
25.292493,TraderOne,Tick,212,112,100,-100,147700,148200,-523,61923,41923,OK
25.472306,TraderOne,Tick,212,112,100,-100,147700,147900,-523,61923,41923,OK
25.799884,TraderOne,Tick,212,112,100,-100,147700,147900,-523,61923,41923,OK
25.978446,TraderOne,Tick,212,112,100,-100,147700,147900,-523,61923,41923,OK
26.224107,TraderOne,Tick,212,112,100,-100,147700,147900,-523,61923,41923,OK
26.45374,TraderOne,Tick,212,112,100,-100,147400,147900,-523,61923,41923,OK
26.793907,TraderOne,Tick,212,112,100,-100,147400,147900,-523,61923,41923,OK
26.961791,TraderOne,Tick,212,112,100,-100,147400,147900,-523,61923,41923,OK
27.219996,TraderOne,Tick,212,112,100,-100,147400,147900,-523,61923,41923,OK
27.456295,TraderOne,Tick,212,112,100,-100,147400,147900,-523,61923,41923,OK
27.710048,TraderOne,Tick,212,112,100,-100,147400,147900,-523,61923,41923,OK
28.048555,TraderOne,Tick,212,112,100,-100,147200,147800,-523,61923,41923,OK
28.235869,TraderOne,Tick,212,112,100,-100,147200,147800,-523,61923,41923,OK
28.476472,TraderOne,Tick,212,112,100,-100,147700,147800,-523,61923,51923,OK
28.705928,TraderOne,Tick,212,112,100,-100,147700,147600,-523,61923,71923,OK
29.013515,TraderOne,Tick,212,112,100,-100,147700,147600,-523,61923,71923,OK
29.223949,TraderOne,Tick,212,112,100,-100,147700,147600,-523,61923,71923,OK
29.475159,TraderOne,Tick,212,112,100,-100,147700,147600,-523,61923,71923,OK
29.755102,TraderOne,Tick,212,112,100,-100,147700,147600,-523,61923,71923,OK
29.952424,TraderOne,Tick,212,112,100,-100,147700,147600,-523,61923,71923,OK
30.251087,TraderOne,Tick,212,112,100,-100,147700,147600,-523,61923,71923,OK
30.478617,TraderOne,Tick,212,112,100,-100,147700,147600,-523,61923,71923,OK
30.733726,TraderOne,Tick,212,112,100,-100,147700,147400,-523,61923,81923,OK
30.970328,TraderOne,Tick,212,112,100,-100,147700,147400,-523,61923,81923,OK
31.265789,TraderOne,Tick,212,112,100,-100,147700,147400,-523,61923,81923,OK
31.482673,TraderOne,Tick,212,112,100,-100,147000,147400,-523,61923,41923,OK
31.779067,TraderOne,Tick,212,112,100,-100,147000,147400,-523,61923,41923,OK
32.016797,TraderOne,Tick,212,112,100,-100,147000,147400,-523,61923,41923,OK
32.251847,TraderOne,Tick,212,112,100,-100,147000,147400,-523,61923,41923,OK
32.483415,TraderOne,Tick,212,112,100,-100,147000,147400,-523,61923,41923,OK
32.792144,TraderOne,Tick,212,112,100,-100,147000,147600,-523,61923,41923,OK
33.013597,TraderOne,Tick,212,112,100,-100,147000,147600,-523,61923,41923,OK
33.236764,TraderOne,Tick,212,112,100,-100,147000,147600,-523,61923,41923,OK
33.505315,TraderOne,Tick,212,112,100,-100,147000,147600,-523,61923,41923,OK
33.773566,TraderOne,Tick,212,112,100,-100,146900,147600,-523,61923,41923,OK
34.018909,TraderOne,Tick,212,112,100,-100,146900,147600,-523,61923,41923,OK
34.219253,TraderOne,Tick,212,112,100,-100,146900,147200,-523,61923,41923,OK
34.544086,TraderOne,Tick,212,112,100,-100,146900,147200,-523,61923,41923,OK
34.708616,TraderOne,Tick,212,112,100,-100,146900,147200,-523,61923,41923,OK
34.986682,TraderOne,Tick,212,112,100,-100,146900,147200,-523,61923,41923,OK
35.289869,TraderOne,Tick,212,112,100,-100,146900,147300,-523,61923,41923,OK
35.553645,TraderOne,Tick,212,112,100,-100,147100,147000,-523,61923,71923,OK
35.750036,TraderOne,Tick,212,112,100,-100,147100,147000,-523,61923,71923,OK
35.9717,TraderOne,Tick,212,112,100,-100,147100,147000,-523,61923,71923,OK
36.263967,TraderOne,Tick,212,112,100,-100,147100,147000,-523,61923,71923,OK
36.529268,TraderOne,Tick,212,112,100,-100,147100,147000,-523,61923,71923,OK
36.744868,TraderOne,Tick,212,112,100,-100,147100,147000,-523,61923,71923,OK
36.952975,TraderOne,Tick,212,112,100,-100,147100,147000,-523,61923,71923,OK
37.215549,TraderOne,Tick,212,112,100,-100,147100,147000,-523,61923,71923,OK
37.471557,TraderOne,Tick,212,112,100,-100,147100,147300,-523,61923,41923,OK
37.745109,TraderOne,Tick,212,112,100,-100,147100,147300,-523,61923,41923,OK
38.016725,TraderOne,Tick,212,112,100,-100,147100,147300,-523,61923,41923,OK
38.234362,TraderOne,Tick,212,112,100,-100,147100,147300,-523,61923,41923,OK
38.533881,TraderOne,Tick,212,112,100,-100,147100,147300,-523,61923,41923,OK
38.75685,TraderOne,Tick,212,112,100,-100,147100,147300,-523,61923,41923,OK
39.042695,TraderOne,Tick,212,112,100,-100,147100,147300,-523,61923,41923,OK
39.239116,TraderOne,Tick,212,112,100,-100,147000,147300,-523,61923,41923,OK
39.502788,TraderOne,Tick,212,112,100,-100,147700,147300,-523,61923,81923,OK
39.795699,TraderOne,Tick,212,112,100,-100,147700,147300,-523,61923,81923,OK
39.992178,TraderOne,Tick,212,112,100,-100,147700,147300,-523,61923,81923,OK
40.232227,TraderOne,Tick,212,112,100,-100,147700,147300,-523,61923,81923,OK
40.537823,TraderOne,Tick,212,112,100,-100,147800,147300,-523,61923,81923,OK
40.765818,TraderOne,Tick,212,112,100,-100,147800,147300,-523,61923,81923,OK
40.972749,TraderOne,Tick,212,112,100,-100,147800,147300,-523,61923,81923,OK
41.300884,TraderOne,Tick,212,112,100,-100,147800,147300,-523,61923,81923,OK
41.488198,TraderOne,Tick,212,112,100,-100,147800,147300,-523,61923,81923,OK
41.774126,TraderOne,Tick,212,112,100,-100,147800,147300,-523,61923,81923,OK
42.02049,TraderOne,Tick,212,112,100,-100,147800,147200,-523,61923,81923,OK
42.238635,TraderOne,Tick,212,120,92,-92,147500,147200,-641,62841,81241,OK
42.51573,TraderOne,Tick,212,120,92,-92,147500,147200,-641,62841,81241,OK
42.744261,TraderOne,Tick,212,120,92,-92,147500,147200,-641,62841,81241,OK
43.00215,TraderOne,Tick,212,120,92,-92,147500,147200,-641,62841,81241,OK
43.209988,TraderOne,Tick,212,120,92,-92,147500,147200,-641,62841,81241,OK
43.495094,TraderOne,Tick,212,120,92,-92,147500,147200,-641,62841,81241,OK
43.723377,TraderOne,Tick,212,120,92,-92,147500,147400,-641,62841,72041,OK
44.028278,TraderOne,Tick,212,120,92,-92,147500,147400,-641,62841,72041,OK
44.29667,TraderOne,Tick,212,120,92,-92,147500,147400,-641,62841,72041,OK
44.52591,TraderOne,Tick,212,120,92,-92,147500,147400,-641,62841,72041,OK
44.728002,TraderOne,Tick,212,120,92,-92,147500,147400,-641,62841,72041,OK
45.025909,TraderOne,Tick,212,120,92,-92,147700,147400,-641,62841,81241,OK
45.231169,TraderOne,Tick,212,120,92,-92,147700,147500,-641,62841,81241,OK
45.523669,TraderOne,Tick,212,120,92,-92,147700,147500,-641,62841,81241,OK
45.764307,TraderOne,Tick,212,120,92,-92,147700,147500,-641,62841,81241,OK
46.046055,TraderOne,Tick,212,120,92,-92,147700,147500,-641,62841,81241,OK
46.246974,TraderOne,Tick,212,120,92,-92,147700,147500,-641,62841,81241,OK
46.474744,TraderOne,Tick,212,120,92,-92,147700,147500,-641,62841,81241,OK
46.733687,TraderOne,Tick,212,120,92,-92,147700,147500,-641,62841,81241,OK
46.98959,TraderOne,Tick,212,136,76,-76,147400,147500,-169,65569,57969,OK
47.208995,TraderOne,Tick,212,136,76,-76,147400,147500,-169,65569,57969,OK
47.452564,TraderOne,Tick,212,136,76,-76,147400,147500,-169,65569,57969,OK
47.755933,TraderOne,Tick,212,187,25,-25,147600,147500,-922,74922,77422,OK
47.965602,TraderOne,Tick,212,187,25,-25,147600,147500,-922,74922,77422,OK
48.224011,TraderOne,Tick,212,187,25,-25,147600,147500,-922,74922,77422,OK
48.525315,TraderOne,Tick,212,187,25,-25,147100,147500,-922,74922,69922,OK
48.761802,TraderOne,Tick,212,187,25,-25,147100,147500,-922,74922,69922,OK
48.966637,TraderOne,Tick,212,187,25,-25,147100,147500,-922,74922,69922,OK
49.288093,TraderOne,Tick,212,187,25,-25,147100,147500,-922,74922,69922,OK
49.539826,TraderOne,Tick,212,187,25,-25,147100,147500,-922,74922,69922,OK
49.775936,TraderOne,Tick,212,187,25,-25,147100,147500,-922,74922,69922,OK
50.02758,TraderOne,Tick,212,187,25,-25,147100,147500,-922,74922,69922,OK
50.242553,TraderOne,Tick,212,187,25,-25,147100,147500,-922,74922,69922,OK
50.534276,TraderOne,Tick,212,203,9,-9,147700,147500,-1158,76758,78558,OK
50.744994,TraderOne,Tick,212,203,9,-9,147700,147500,-1158,76758,78558,OK
50.99424,TraderOne,Tick,212,203,9,-9,147700,147500,-1158,76758,78558,OK
51.201783,TraderOne,Tick,212,203,9,-9,147700,147500,-1158,76758,78558,OK
51.529723,TraderOne,Tick,212,203,9,-9,147700,147500,-1158,76758,78558,OK
51.751647,TraderOne,Tick,212,203,9,-9,147700,147500,-1158,76758,78558,OK
52.044873,TraderOne,Tick,212,203,9,-9,147700,147300,-1158,76758,78558,OK
52.26648,TraderOne,Tick,212,203,9,-9,147700,147300,-1158,76758,78558,OK
52.507284,TraderOne,Tick,212,203,9,-9,147700,147300,-1158,76758,78558,OK
52.71513,TraderOne,Tick,212,203,9,-9,147700,147300,-1158,76758,78558,OK
52.969997,TraderOne,Tick,212,203,9,-9,147700,147300,-1158,76758,78558,OK
53.20891,TraderOne,Tick,212,203,9,-9,147700,147300,-1158,76758,78558,OK
53.4616,TraderOne,Tick,212,203,9,-9,147700,147300,-1158,76758,78558,OK
53.734624,TraderOne,Tick,212,203,9,-9,147700,147300,-1158,76758,78558,OK
54.017827,TraderOne,Tick,212,228,-16,16,147600,147300,-1527,75527,72327,OK
54.26737,TraderOne,Tick,212,228,-16,16,147600,147300,-1527,75527,72327,OK
54.505705,TraderOne,Tick,212,228,-16,16,147600,147200,-1527,75527,72327,OK
54.739191,TraderOne,Tick,212,228,-16,16,147600,147200,-1527,75527,72327,OK
54.972341,TraderOne,Tick,212,228,-16,16,147600,147200,-1527,75527,72327,OK
55.262854,TraderOne,Tick,212,228,-16,16,147300,147300,-1527,75527,75527,OK
55.52589,TraderOne,Tick,212,228,-16,16,147300,146900,-1527,75527,72327,OK
55.7648,TraderOne,Tick,212,244,-32,32,147000,146900,-1056,76656,73456,OK
55.99422,TraderOne,Tick,212,244,-32,32,147000,147100,-1056,76656,79856,OK
56.206368,TraderOne,Tick,212,244,-32,32,147000,147100,-1056,76656,79856,OK
56.500588,TraderOne,Tick,212,244,-32,32,147000,147100,-1056,76656,79856,OK
56.709834,TraderOne,Tick,212,244,-32,32,147000,147100,-1056,76656,79856,OK
57.023081,TraderOne,Tick,212,244,-32,32,147000,147100,-1056,76656,79856,OK
57.285904,TraderOne,Tick,212,253,-41,41,147000,147100,-791,77291,81391,OK
57.518095,TraderOne,Tick,212,253,-41,41,147000,146800,-791,77291,69091,OK
57.724232,TraderOne,Tick,212,253,-41,41,147000,146700,-791,77291,69091,OK
58.014365,TraderOne,Tick,212,260,-48,48,146900,146600,-585,77785,68185,OK
58.234706,TraderOne,Tick,212,260,-48,48,146900,146700,-585,77785,68185,OK
58.492989,TraderOne,Tick,212,260,-48,48,146900,146700,-585,77785,68185,OK
58.73375,TraderOne,Tick,212,260,-48,48,146900,146700,-585,77785,68185,OK
58.954457,TraderOne,Tick,212,276,-64,64,146900,146700,-115,80515,67715,OK
59.245633,TraderOne,Tick,212,306,-94,94,146900,146700,766,85634,66834,OK
59.531041,TraderOne,Tick,212,306,-94,94,146900,146500,766,85634,66834,OK
59.783387,TraderOne,Tick,212,306,-94,94,146900,146500,766,85634,66834,OK
60.016282,TraderOne,Tick,212,306,-94,94,146900,146500,766,85634,66834,OK
60.299389,TraderOne,Tick,212,306,-94,94,146900,146700,766,85634,66834,OK
60.508936,TraderOne,Tick,212,306,-94,94,146900,146700,766,85634,66834,OK
60.747688,TraderOne,Tick,212,306,-94,94,146900,146600,766,85634,66834,OK
60.989374,TraderOne,Tick,212,306,-94,94,146900,146500,766,85634,66834,OK
61.231149,TraderOne,Tick,212,306,-94,94,146900,146500,766,85634,66834,OK
61.538417,TraderOne,Tick,212,306,-94,94,146900,146500,766,85634,66834,OK
61.710012,TraderOne,Tick,212,306,-94,94,146900,146500,766,85634,66834,OK
61.98465,TraderOne,Tick,212,306,-94,94,146900,146500,766,85634,66834,OK
62.217411,TraderOne,Tick,212,306,-94,94,146900,146500,766,85634,66834,OK
62.494715,TraderOne,Tick,212,306,-94,94,146800,146300,766,85634,66834,OK
62.736162,TraderOne,Tick,212,306,-94,94,146700,146300,766,85634,66834,OK
63.037037,TraderOne,Tick,212,306,-94,94,146700,146300,766,85634,66834,OK
63.232828,TraderOne,Tick,212,306,-94,94,146700,146300,766,85634,66834,OK
63.460824,TraderOne,Tick,212,306,-94,94,146700,146300,766,85634,66834,OK
63.709811,TraderOne,Tick,212,306,-94,94,146700,146300,766,85634,66834,OK
64.04425,TraderOne,Tick,212,306,-94,94,146700,146300,766,85634,66834,OK
64.295148,TraderOne,Tick,212,306,-94,94,146700,146300,766,85634,66834,OK
64.547846,TraderOne,Tick,212,306,-94,94,146700,146300,766,85634,66834,OK
64.786694,TraderOne,Tick,212,306,-94,94,146700,146300,766,85634,66834,OK
65.000137,TraderOne,Tick,212,306,-94,94,146700,146300,766,85634,66834,OK
65.275029,TraderOne,Tick,212,306,-94,94,146700,146900,766,85634,104434,OK
65.483761,TraderOne,Tick,212,306,-94,94,146700,146900,766,85634,104434,OK
65.784764,TraderOne,Tick,212,306,-94,94,146700,146900,766,85634,104434,OK
65.994454,TraderOne,Tick,212,306,-94,94,146600,146900,766,85634,104434,OK
66.2941,TraderOne,Tick,212,306,-94,94,146600,146900,766,85634,104434,OK
66.542049,TraderOne,Tick,212,312,-100,100,147300,146900,678,87522,67522,OK
66.774296,TraderOne,Tick,212,312,-100,100,146500,146900,678,87522,107522,OK
66.971007,TraderOne,Tick,212,312,-100,100,146500,146900,678,87522,107522,OK
67.201058,TraderOne,Tick,212,312,-100,100,146500,146900,678,87522,107522,OK
67.549599,TraderOne,Tick,212,312,-100,100,146500,146900,678,87522,107522,OK
67.800563,TraderOne,Tick,212,312,-100,100,146500,146900,678,87522,107522,OK
68.039545,TraderOne,Tick,212,312,-100,100,146500,146900,678,87522,107522,OK
68.214269,TraderOne,Tick,212,312,-100,100,146900,146900,678,87522,87522,OK
68.464948,TraderOne,Tick,228,312,-84,84,146500,146900,443,89357,106157,OK
68.739991,TraderOne,Tick,228,312,-84,84,146500,147200,443,89357,106157,OK
69.024977,TraderOne,Tick,228,312,-84,84,146500,147200,443,89357,106157,OK
69.234693,TraderOne,Tick,228,328,-100,100,147500,147200,208,91192,71192,OK
69.491479,TraderOne,Tick,228,328,-100,100,147500,147200,208,91192,71192,OK
69.743863,TraderOne,Tick,228,328,-100,100,147500,147300,208,91192,71192,OK
70.039518,TraderOne,Tick,228,328,-100,100,147500,147300,208,91192,71192,OK
70.218852,TraderOne,Tick,228,328,-100,100,147500,147300,208,91192,71192,OK
70.453415,TraderOne,Tick,228,328,-100,100,147500,147300,208,91192,71192,OK
70.746962,TraderOne,Tick,244,328,-84,84,146500,147300,-27,93027,109827,OK
71.035933,TraderOne,Tick,244,328,-84,84,146500,147300,-27,93027,109827,OK
71.296716,TraderOne,Tick,244,328,-84,84,146500,147300,-27,93027,109827,OK
71.517973,TraderOne,Tick,244,328,-84,84,146500,147300,-27,93027,109827,OK
71.721402,TraderOne,Tick,244,328,-84,84,146500,147300,-27,93027,109827,OK
72.038168,TraderOne,Tick,244,328,-84,84,146500,147300,-27,93027,109827,OK
72.290589,TraderOne,Tick,244,328,-84,84,146500,147300,-27,93027,109827,OK
72.548979,TraderOne,Tick,244,344,-100,100,147500,147300,-263,93263,73263,OK
72.79428,TraderOne,Tick,244,344,-100,100,147500,147300,-263,93263,73263,OK
72.978573,TraderOne,Tick,244,344,-100,100,147600,147300,-263,93263,73263,OK
73.260291,TraderOne,Tick,244,344,-100,100,147600,147300,-263,93263,73263,OK
73.49809,TraderOne,Tick,244,344,-100,100,147600,147200,-263,93263,73263,OK
73.751148,TraderOne,Tick,244,344,-100,100,147600,147200,-263,93263,73263,OK
74.034101,TraderOne,Tick,244,344,-100,100,147600,147200,-263,93263,73263,OK
74.250859,TraderOne,Tick,244,344,-100,100,147600,147200,-263,93263,73263,OK
74.452307,TraderOne,Tick,244,344,-100,100,147600,147200,-263,93263,73263,OK
74.761192,TraderOne,Tick,244,344,-100,100,147600,147200,-263,93263,73263,OK
74.955503,TraderOne,Tick,244,344,-100,100,147600,147200,-263,93263,73263,OK
75.2193,TraderOne,Tick,244,344,-100,100,147600,147400,-263,93263,73263,OK
75.488369,TraderOne,Tick,244,344,-100,100,147600,147400,-263,93263,73263,OK
75.755673,TraderOne,Tick,244,344,-100,100,147600,147400,-263,93263,73263,OK
75.965283,TraderOne,Tick,244,344,-100,100,147600,147400,-263,93263,73263,OK
76.205781,TraderOne,Tick,244,344,-100,100,147600,147400,-263,93263,73263,OK
76.543178,TraderOne,Tick,244,344,-100,100,147600,147500,-263,93263,83263,OK
76.71011,TraderOne,Tick,244,344,-100,100,147600,147600,-263,93263,93263,OK
77.037904,TraderOne,Tick,244,344,-100,100,147600,147600,-263,93263,93263,OK
77.278504,TraderOne,Tick,244,344,-100,100,147600,147600,-263,93263,93263,OK
77.497344,TraderOne,Tick,244,344,-100,100,147600,147600,-263,93263,93263,OK
77.795975,TraderOne,Tick,244,344,-100,100,147500,147600,-263,93263,103263,OK
78.000966,TraderOne,Tick,244,344,-100,100,147500,147600,-263,93263,103263,OK
78.263605,TraderOne,Tick,244,344,-100,100,147500,147600,-263,93263,103263,OK
78.522503,TraderOne,Tick,244,344,-100,100,147500,147600,-263,93263,103263,OK
78.733568,TraderOne,Tick,244,344,-100,100,147500,147600,-263,93263,103263,OK
78.969866,TraderOne,Tick,244,344,-100,100,147500,147600,-263,93263,103263,OK
79.223387,TraderOne,Tick,244,344,-100,100,147500,147600,-263,93263,103263,OK
79.451758,TraderOne,Tick,244,344,-100,100,147500,147600,-263,93263,103263,OK
79.763135,TraderOne,Tick,244,344,-100,100,147700,148200,-263,93263,113263,OK
79.980535,TraderOne,Tick,244,344,-100,100,147700,148400,-263,93263,113263,OK
80.264156,TraderOne,Tick,244,344,-100,100,147700,148400,-263,93263,113263,OK
80.480767,TraderOne,Tick,244,344,-100,100,147800,148400,-263,93263,113263,OK
80.704577,TraderOne,Tick,292,344,-52,52,147900,148400,1157,106243,116643,OK
81.002219,TraderOne,Tick,292,344,-52,52,147900,148400,1157,106243,116643,OK
81.26595,TraderOne,Tick,356,344,12,-12,147900,148200,3050,129950,127550,OK
81.457566,TraderOne,Tick,364,344,20,-20,147900,148400,3287,131313,127313,OK
81.790875,TraderOne,Tick,364,344,20,-20,148100,148400,3287,131313,127313,OK
82.007879,TraderOne,Tick,364,344,20,-20,148000,148400,3287,131313,127313,OK
82.256044,TraderOne,Tick,364,344,20,-20,148000,148400,3287,131313,127313,OK
82.504607,TraderOne,Tick,364,344,20,-20,148200,148800,3287,131313,127313,OK
